Id,label1
1,5
2,8
3,2
4,1
5,6
6,8
7,1
8,1
9,5
10,10
11,7
12,7
13,1
14,7
15,7
16,3
17,8
18,4
19,1
20,9
21,1
22,4
23,9
24,2
25,10
26,10
27,7
28,5
29,4
30,1
31,3
32,7
33,3
34,2
35,6
36,3
37,6
38,8
39,2
40,3
41,2
42,7
43,1
44,8
45,5
46,1
47,4
48,3
49,4
50,1
51,9
52,7
53,10
54,7
55,9
56,1
57,7
58,2
59,9
60,6
61,2
62,5
63,6
64,8
65,4
66,4
67,9
68,1
69,1
70,6
71,10
72,10
73,8
74,3
75,5
76,10
77,1
78,8
79,5
80,5
81,6
82,6
83,6
84,7
85,2
86,9
87,1
88,9
89,7
90,6
91,7
92,2
93,4
94,3
95,1
96,10
97,9
98,8
99,3
100,9
101,2
102,5
103,5
104,3
105,5
106,2
107,2
108,3
109,4
110,7
111,8
112,1
113,5
114,7
115,8
116,1
117,8
118,8
119,1
120,7
121,5
122,5
123,9
124,1
125,10
126,5
127,8
128,8
129,2
130,4
131,3
132,9
133,2
134,7
135,5
136,10
137,6
138,1
139,10
140,4
141,8
142,8
143,1
144,10
145,1
146,1
147,3
148,3
149,6
150,8
151,4
152,3
153,2
154,4
155,5
156,8
157,1
158,1
159,7
160,2
161,5
162,2
163,5
164,3
165,8
166,4
167,10
168,5
169,2
170,10
171,10
172,8
173,3
174,5
175,9
176,8
177,9
178,9
179,2
180,10
181,6
182,9
183,10
184,2
185,2
186,3
187,9
188,4
189,6
190,3
191,9
192,1
193,7
194,1
195,7
196,5
197,2
198,5
199,2
200,7
201,3
202,4
203,2
204,3
205,3
206,10
207,6
208,4
209,1
210,1
211,2
212,2
213,2
214,4
215,9
216,2
217,5
218,8
219,1
220,2
221,4
222,1
223,7
224,5
225,7
226,8
227,1
228,4
229,9
230,5
231,9
232,2
233,8
234,9
235,1
236,7
237,7
238,6
239,2
240,6
241,9
242,8
243,6
244,5
245,10
246,10
247,6
248,3
249,3
250,5
251,1
252,6
253,7
254,9
255,8
256,2
257,4
258,4
259,6
260,2
261,8
262,6
263,3
264,5
265,3
266,4
267,5
268,3
269,7
270,6
271,7
272,8
273,3
274,3
275,5
276,1
277,1
278,5
279,9
280,2
281,10
282,9
283,8
284,4
285,4
286,5
287,7
288,1
289,7
290,6
291,3
292,7
293,10
294,4
295,6
296,3
297,5
298,6
299,5
300,9
301,2
302,1
303,7
304,7
305,1
306,4
307,7
308,10
309,9
310,1
311,10
312,5
313,4
314,3
315,6
316,2
317,5
318,8
319,7
320,10
321,8
322,8
323,5
324,3
325,6
326,8
327,5
328,4
329,5
330,4
331,3
332,7
333,5
334,1
335,5
336,2
337,1
338,9
339,2
340,1
341,6
342,8
343,9
344,10
345,9
346,9
347,3
348,6
349,4
350,3
351,3
352,5
353,4
354,9
355,1
356,1
357,6
358,5
359,10
360,10
361,10
362,3
363,7
364,2
365,7
366,9
367,1
368,6
369,5
370,8
371,9
372,8
373,6
374,8
375,1
376,10
377,2
378,10
379,6
380,10
381,8
382,4
383,2
384,3
385,7
386,9
387,9
388,9
389,8
390,8
391,2
392,5
393,5
394,4
395,6
396,5
397,10
398,1
399,3
400,10
401,1
402,4
403,7
404,9
405,7
406,10
407,7
408,5
409,4
410,4
411,5
412,8
413,4
414,6
415,4
416,10
417,10
418,3
419,3
420,10
421,6
422,5
423,9
424,3
425,4
426,5
427,10
428,4
429,2
430,2
431,8
432,6
433,6
434,4
435,5
436,3
437,7
438,10
439,9
440,4
441,9
442,9
443,9
444,8
445,9
446,2
447,9
448,3
449,1
450,2
451,3
452,9
453,9
454,9
455,3
456,6
457,4
458,6
459,3
460,2
461,9
462,6
463,9
464,7
465,7
466,9
467,10
468,1
469,6
470,1
471,6
472,8
473,9
474,5
475,1
476,8
477,2
478,3
479,9
480,2
481,5
482,8
483,10
484,6
485,3
486,3
487,3
488,8
489,8
490,2
491,4
492,10
493,1
494,8
495,3
496,1
497,5
498,6
499,3
500,10
501,5
502,9
503,8
504,2
505,7
506,1
507,8
508,5
509,7
510,6
511,1
512,5
513,8
514,8
515,4
516,7
517,9
518,1
519,3
520,8
521,1
522,2
523,2
524,10
525,4
526,7
527,1
528,9
529,1
530,9
531,10
532,6
533,9
534,10
535,1
536,10
537,1
538,8
539,7
540,4
541,9
542,2
543,10
544,7
545,6
546,2
547,8
548,4
549,7
550,1
551,4
552,8
553,4
554,1
555,10
556,2
557,5
558,2
559,6
560,1
561,6
562,7
563,4
564,4
565,6
566,8
567,3
568,10
569,7
570,3
571,5
572,3
573,1
574,8
575,9
576,2
577,9
578,10
579,10
580,9
581,6
582,9
583,10
584,3
585,2
586,5
587,4
588,9
589,8
590,1
591,5
592,8
593,9
594,9
595,10
596,7
597,9
598,8
599,1
600,3
