,Date/Time,Lat,Lon,Base
42,5/1/2014 3:50:00,40.7299,-73.9868,B02512
43,5/1/2014 3:57:00,40.7762,-73.9499,B02512
44,5/1/2014 3:58:00,40.7538,-73.9774,B02512
45,5/1/2014 3:58:00,40.6819,-73.685,B02512
46,5/1/2014 4:04:00,40.758,-73.9892,B02512
47,5/1/2014 4:13:00,40.7469,-74.0078,B02512
48,5/1/2014 4:15:00,40.7663,-73.9916,B02512
49,5/1/2014 4:17:00,40.7196,-74.0085,B02512
50,5/1/2014 4:17:00,40.7196,-74.0085,B02512
51,5/1/2014 4:21:00,40.7852,-73.9712,B02512
52,5/1/2014 4:24:00,40.7553,-73.9723,B02512
53,5/1/2014 4:25:00,40.7753,-73.9904,B02512
54,5/1/2014 4:28:00,40.754,-73.9773,B02512
55,5/1/2014 4:28:00,40.754,-73.9773,B02512
56,5/1/2014 4:35:00,40.7572,-73.9625,B02512
57,5/1/2014 4:41:00,40.7695,-73.9621,B02512
58,5/1/2014 4:43:00,40.7827,-73.9728,B02512
59,5/1/2014 4:44:00,40.7656,-73.9629,B02512
60,5/1/2014 4:51:00,40.7232,-73.5771,B02512
61,5/1/2014 4:51:00,40.6954,-74.178,B02512
62,5/1/2014 4:58:00,40.7605,-73.9873,B02512
63,5/1/2014 5:00:00,40.7101,-74.001,B02512
64,5/1/2014 5:01:00,40.762,-73.982,B02512
65,5/1/2014 5:05:00,40.7137,-73.9631,B02512
66,5/1/2014 5:06:00,40.7762,-73.9603,B02512
67,5/1/2014 5:07:00,40.7521,-73.9813,B02512
68,5/1/2014 5:08:00,40.7797,-73.9783,B02512
69,5/1/2014 5:17:00,40.774,-73.9824,B02512
70,5/1/2014 5:17:00,40.7388,-74.0027,B02512
71,5/1/2014 5:18:00,40.7781,-73.9749,B02512
72,5/1/2014 5:21:00,40.7612,-73.9995,B02512
73,5/1/2014 5:23:00,40.7592,-74.0234,B02512
74,5/1/2014 5:24:00,40.8895,-73.7939,B02512
75,5/1/2014 5:27:00,40.7449,-73.9772,B02512
76,5/1/2014 5:27:00,40.7449,-73.9772,B02512
77,5/1/2014 5:29:00,40.6951,-74.1784,B02512
78,5/1/2014 5:30:00,40.7705,-73.9857,B02512
79,5/1/2014 5:34:00,40.7327,-74.0088,B02512
80,5/1/2014 5:35:00,40.7985,-73.9729,B02512
81,5/1/2014 5:36:00,40.7486,-73.9737,B02512
82,5/1/2014 5:38:00,40.7372,-74.0372,B02512
83,5/1/2014 5:38:00,40.7372,-74.0372,B02512
84,5/1/2014 5:38:00,40.7912,-73.9651,B02512
85,5/1/2014 5:39:00,40.7323,-73.9941,B02512
86,5/1/2014 5:40:00,40.7828,-73.9797,B02512
87,5/1/2014 5:40:00,40.7828,-73.9797,B02512
88,5/1/2014 5:41:00,40.7179,-73.9895,B02512
89,5/1/2014 5:46:00,40.729,-74.0066,B02512
90,5/1/2014 5:49:00,40.8109,-74.1575,B02512
91,5/1/2014 5:49:00,40.7149,-74.0065,B02512
92,5/1/2014 5:56:00,40.7186,-74.0079,B02512
93,5/1/2014 6:03:00,40.7745,-73.9838,B02512
94,5/1/2014 6:03:00,40.7753,-73.9901,B02512
95,5/1/2014 6:07:00,40.7204,-74.0085,B02512
96,5/1/2014 6:07:00,40.7175,-74.0022,B02512
97,5/1/2014 6:07:00,40.7321,-73.9885,B02512
98,5/1/2014 6:08:00,40.7273,-73.9922,B02512
0,6/1/2014 0:00:00,40.7293,-73.992,B02512
1,6/1/2014 0:01:00,40.7131,-74.0097,B02512
2,6/1/2014 0:04:00,40.3461,-74.661,B02512
3,6/1/2014 0:04:00,40.7555,-73.9833,B02512
4,6/1/2014 0:07:00,40.688,-74.1831,B02512
5,6/1/2014 0:08:00,40.7152,-73.9917,B02512
6,6/1/2014 0:08:00,40.7282,-73.991,B02512
7,6/1/2014 0:08:00,40.3042,-73.9794,B02512
8,6/1/2014 0:09:00,40.727,-73.9915,B02512
9,6/1/2014 0:10:00,40.7221,-73.9965,B02512
10,6/1/2014 0:11:00,40.7153,-74.0146,B02512
11,6/1/2014 0:15:00,40.6176,-74.0197,B02512
12,6/1/2014 0:16:00,40.7025,-73.9897,B02512
13,6/1/2014 0:17:00,40.735,-74.165,B02512
14,6/1/2014 0:17:00,40.7357,-74.0068,B02512
15,6/1/2014 0:18:00,40.6904,-73.9572,B02512
16,6/1/2014 0:19:00,40.7384,-73.9857,B02512
17,6/1/2014 0:20:00,40.7406,-74.0066,B02512
18,6/1/2014 0:21:00,40.7535,-73.9813,B02512
19,6/1/2014 0:21:00,40.722,-73.9804,B02512
20,6/1/2014 0:23:00,40.8095,-74.1037,B02512
21,6/1/2014 0:23:00,40.7482,-73.9745,B02512
22,6/1/2014 0:30:00,40.7043,-73.933,B02512
23,6/1/2014 0:32:00,40.7298,-73.9898,B02512
24,6/1/2014 0:32:00,40.7397,-74.0053,B02512
25,6/1/2014 0:34:00,40.7607,-74.0025,B02512
26,6/1/2014 0:37:00,40.7578,-73.9703,B02512
27,6/1/2014 0:39:00,40.7349,-73.985,B02512
28,6/1/2014 0:39:00,40.7133,-73.9775,B02512
29,6/1/2014 0:40:00,40.7273,-73.9936,B02512
30,6/1/2014 0:40:00,40.760999999999996,-73.6035,B02512
31,6/1/2014 0:44:00,40.7401,-73.9901,B02512
32,6/1/2014 0:46:00,40.7261,-73.9835,B02512
33,6/1/2014 0:48:00,40.7406,-74.0086,B02512
34,6/1/2014 0:49:00,40.6975,-73.9373,B02512
35,6/1/2014 0:53:00,40.7428,-73.9806,B02512
36,6/1/2014 0:55:00,40.7667,-74.2016,B02512
37,6/1/2014 0:59:00,40.7053,-73.9394,B02512
38,6/1/2014 0:59:00,40.7181,-73.6795,B02512
39,6/1/2014 1:00:00,40.7431,-73.9848,B02512
40,6/1/2014 1:00:00,40.7395,-74.0021,B02512
41,6/1/2014 1:01:00,40.7816,-73.7183,B02512
42,6/1/2014 1:01:00,40.8192,-73.9019,B02512
43,6/1/2014 1:02:00,40.7335,-74.0037,B02512
44,6/1/2014 1:04:00,40.7404,-74.0083,B02512
45,6/1/2014 1:09:00,40.796,-74.4726,B02512
46,6/1/2014 1:14:00,40.7397,-74.0081,B02512
47,6/1/2014 1:15:00,40.7233,-73.9855,B02512
48,6/1/2014 1:18:00,40.7535,-73.9851,B02512
49,6/1/2014 1:25:00,40.7978,-74.4777,B02512
50,6/1/2014 1:32:00,40.299,-73.9811,B02512
51,6/1/2014 1:37:00,40.7343,-74.166,B02512
52,6/1/2014 1:38:00,40.7392,-73.9953,B02512
53,6/1/2014 1:40:00,41.0169,-73.7182,B02512
54,6/1/2014 1:41:00,40.7196,-73.9995,B02512
55,6/1/2014 1:52:00,40.7398,-74.0054,B02512
56,6/1/2014 1:56:00,40.7295,-74.0084,B02512
57,6/1/2014 2:03:00,40.7408,-74.0079,B02512
58,6/1/2014 2:04:00,40.7381,-74.0089,B02512
59,6/1/2014 2:05:00,40.742,-74.0077,B02512
60,6/1/2014 2:15:00,40.6736,-73.992,B02512
61,6/1/2014 2:19:00,40.7195,-73.9887,B02512
62,6/1/2014 2:21:00,40.7144,-73.9651,B02512
63,6/1/2014 2:26:00,40.7621,-73.9747,B02512
64,6/1/2014 2:27:00,40.74,-74.0055,B02512
65,6/1/2014 2:32:00,40.762,-73.9936,B02512
66,6/1/2014 2:40:00,40.7175,-74.0055,B02512
67,6/1/2014 2:41:00,40.7521,-73.9954,B02512
68,6/1/2014 2:47:00,40.7222,-73.9588,B02512
69,6/1/2014 2:50:00,40.719,-73.9888,B02512
