0,Bachelors,39,2174,White,0,40,Male,<=50K
1,Bachelors,50,?,White,0,13,Male,<=50K
2,HS-grad,38,?,White,0,40,Male,<=50K
3,11th,53,?,Black,0,40,Male,<=50K
4,Bachelors,28,0,Black,0,40,Female,<=50K
5,Masters,37,0,White,0,40,Female,<=50K
6,9th,49,0,Black,0,16,Female,<=50K
7,HS-grad,52,0,White,0,45,Male,>50K
8,Masters,31,14084,White,0,50,Female,>50K
9,Bachelors,42,5178,White,0,40,Male,>50K
10,Some-college,37,0,Black,0,80,Male,>50K
11,Bachelors,30,0,Asian-Pac-Islander,0,40,Male,>50K
12,Bachelors,23,0,White,0,30,Female,<=50K
13,7th-8th,34,0,Amer-Indian-Eskimo,0,45,Male,<=50K
14,HS-grad,25,0,White,0,35,Male,<=50K
15,HS-grad,32,0,White,0,40,Male,<=50K
16,11th,38,0,White,0,50,Male,<=50K
17,Masters,43,0,White,0,45,Female,>50K
18,Doctorate,40,0,White,0,60,Male,>50K
19,HS-grad,54,0,Black,0,20,Female,<=50K
20,9th,35,0,Black,0,40,Male,<=50K
21,11th,43,0,White,2042,40,Male,<=50K
22,HS-grad,59,0,White,0,40,Female,<=50K
23,Bachelors,56,0,White,0,40,Male,>50K
24,HS-grad,19,0,White,0,40,Male,<=50K
25,Some-college,54,0,Asian-Pac-Islander,0,60,Male,>50K
26,HS-grad,39,0,White,0,80,Male,<=50K
27,HS-grad,49,0,White,0,40,Male,<=50K
28,Some-college,20,0,Black,0,44,Male,<=50K
29,Bachelors,45,0,White,1408,40,Male,<=50K
30,Some-college,30,0,White,0,40,Male,<=50K
31,Some-college,22,0,Black,0,15,Male,<=50K
32,11th,48,0,White,0,40,Male,<=50K
33,Some-college,21,0,White,0,40,Male,<=50K
34,HS-grad,19,0,White,0,25,Female,<=50K
35,Some-college,31,0,White,0,38,Male,>50K
36,9th,31,0,White,0,43,Male,<=50K
37,Bachelors,53,0,White,0,40,Male,<=50K
38,Bachelors,24,0,White,0,50,Male,<=50K
39,HS-grad,49,0,White,0,40,Female,<=50K
40,HS-grad,25,0,White,0,35,Male,<=50K
41,Bachelors,57,0,Black,0,40,Male,>50K
42,HS-grad,53,0,White,0,38,Male,<=50K
43,Masters,44,0,White,0,40,Female,<=50K
44,Some-college,25,0,Other,0,40,Female,<=50K
45,HS-grad,18,0,White,0,30,Female,<=50K
46,Bachelors,50,0,White,0,55,Male,>50K
47,HS-grad,47,0,White,0,60,Male,<=50K
48,Some-college,43,0,White,0,40,Male,>50K
49,5th-6th,46,0,White,0,40,Male,<=50K
50,HS-grad,41,0,White,0,48,Male,<=50K
51,HS-grad,30,5013,White,0,40,Male,<=50K
52,Bachelors,30,2407,White,0,40,Male,<=50K
53,7th-8th,32,0,White,0,40,Male,<=50K
54,HS-grad,48,0,White,0,40,Male,<=50K
55,Doctorate,42,0,White,0,45,Male,>50K
56,Some-college,29,0,White,0,58,Male,<=50K
57,HS-grad,36,0,White,0,40,Male,<=50K
58,Some-college,28,0,White,0,40,Female,<=50K
59,HS-grad,53,0,White,0,40,Female,>50K
60,Some-college,49,0,White,0,50,Male,>50K
61,Some-college,25,0,White,0,40,Male,<=50K
62,Some-college,19,0,White,0,32,Male,<=50K
63,Bachelors,31,0,Black,0,40,Female,<=50K
64,Bachelors,29,0,White,0,70,Male,>50K
65,Some-college,23,0,White,0,40,Male,<=50K
66,Some-college,79,0,White,0,20,Male,<=50K
67,HS-grad,27,0,White,0,40,Male,<=50K
68,10th,67,0,White,0,2,Male,<=50K
69,11th,18,0,White,0,22,Female,<=50K
70,7th-8th,31,0,White,0,40,Male,<=50K
71,HS-grad,18,0,White,0,30,Male,<=50K
72,Bachelors,52,0,White,0,40,Male,<=50K
73,HS-grad,46,0,White,0,40,Female,<=50K
74,HS-grad,59,0,White,0,48,Male,<=50K
75,HS-grad,44,14344,White,0,40,Female,>50K
76,HS-grad,53,0,White,0,35,Female,<=50K
77,HS-grad,49,0,White,0,40,Male,>50K
78,Masters,33,0,White,0,50,Male,<=50K
79,9th,30,0,White,0,40,Male,<=50K
80,Doctorate,43,0,White,0,50,Female,>50K
81,Some-college,37,0,White,0,40,Female,<=50K
82,Some-college,28,0,Black,0,25,Female,<=50K
83,HS-grad,30,0,Asian-Pac-Islander,1573,35,Female,<=50K
84,Bachelors,34,0,White,0,40,Male,>50K
85,Some-college,29,0,White,0,50,Male,<=50K
86,Doctorate,48,0,White,1902,60,Male,>50K
87,Some-college,37,0,White,0,48,Male,>50K
88,HS-grad,32,0,Black,0,40,Male,<=50K
89,Masters,76,0,White,0,40,Male,>50K
90,Bachelors,44,15024,White,0,60,Male,>50K
91,Masters,47,0,White,0,50,Female,<=50K
92,Some-college,20,0,White,0,40,Female,<=50K
93,HS-grad,29,0,White,0,40,Male,<=50K
94,HS-grad,32,7688,White,0,40,Male,>50K
95,10th,17,34095,White,0,32,Female,<=50K
96,11th,30,0,White,0,40,Male,<=50K
97,HS-grad,31,0,White,0,40,Female,<=50K
98,HS-grad,42,0,White,0,40,Male,<=50K
99,Bachelors,24,0,White,0,40,Male,<=50K
100,HS-grad,56,0,White,1887,50,Male,>50K
101,Some-college,28,4064,White,0,25,Female,<=50K
102,HS-grad,36,0,White,0,40,Female,<=50K
103,9th,53,0,White,0,50,Male,<=50K
104,Some-college,56,0,White,0,50,Male,<=50K
105,Some-college,55,0,White,0,56,Male,<=50K
106,HS-grad,22,0,White,0,41,Male,<=50K
107,Some-college,21,0,White,0,40,Female,<=50K
108,Bachelors,40,0,White,0,60,Male,<=50K
109,Bachelors,30,0,Black,0,40,Male,<=50K
110,Bachelors,29,0,White,0,50,Male,>50K
111,Some-college,19,0,Black,0,35,Male,<=50K
112,Bachelors,47,0,White,0,40,Female,>50K
