Id,label1
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,0
183,1
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,0
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,1
270,0
271,1
272,1
273,0
274,0
275,1
276,0
277,1
278,0
279,0
280,1
