id,sentiment,date,text,,
623495523,1,Mon Dec 01 20:46:01 +0000 2014,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,,
623495527,1,Mon Dec 01 21:09:50 +0000 2014,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,,
623495529,1,Mon Dec 01 21:35:14 +0000 2014,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,,
623495536,1,Mon Dec 01 23:55:55 +0000 2014,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc",,
623495537,1,Tue Dec 02 00:06:05 +0000 2014,i get the storage almost full notification literally every 5 minutes chill @apple,,
623495538,1,Tue Dec 02 00:14:25 +0000 2014,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n,,
623495539,1,Tue Dec 02 00:15:11 +0000 2014,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle,,
623495552,1,Tue Dec 02 00:24:47 +0000 2014,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL,,
623495554,1,Tue Dec 02 00:27:23 +0000 2014,Nigga update yall headphones @Apple,,
623495556,1,Tue Dec 02 00:28:38 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,,
623495557,1,Tue Dec 02 00:29:58 +0000 2014,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",,
623495559,1,Tue Dec 02 00:32:42 +0000 2014,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers,,
623495560,1,Tue Dec 02 00:34:51 +0000 2014,@apple U need to get ur fucking shit together and let me txt while on YouTube,,
623495561,1,Tue Dec 02 00:38:41 +0000 2014,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,,
623495564,1,Tue Dec 02 00:45:03 +0000 2014,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb,,
623495570,1,Tue Dec 02 00:53:58 +0000 2014,hey @apple fuck you,,
623495572,1,Tue Dec 02 00:56:11 +0000 2014,@apple why doesn't your people explain precautions when buying an expensive laptop,,
