price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
0.232484698,0,0,0.287227672,0.28238014,0,0,0,0.368601024,0,0.47826087,0,0.571497507,0.318627451,0.315997594,0.299359243
0.55850542,0,1,0.634845836,0.370011559,1,0,0,0.624293175,0.753443262,0.443478261,0.98808933,0.908959305,0.166666667,0.445346931,0.418468172
0.155447773,1,0,0.096678874,0.521825288,0,0,1,0.189511527,0,0.286956522,0,0.936142834,0.37745098,0.710666589,0.44379903
0.60110292,2,2,0.513821289,0.24660098,0,1,0,0.319623714,0.856590669,0.565217391,0,0.586939038,0,0.324254887,0.260434757
0.538830084,0,3,0.444977306,0.416139153,0,0,2,0.516863847,0,0.756521739,0,0.741354351,0.838235294,0.480498705,0.410323971
0.287258666,0,1,0.454185573,0.346727583,1,0,0,0.525518344,0,0.826086957,0,0.247386199,0.147058824,0.601918119,0.369363435
0.333355022,0,4,0.239348027,0.505917323,0,0,0,0.323600785,0,0.547826087,0,0.407913785,0.176470588,0.43199453,0.542547458
0.244881655,0,0,0.470798945,0.382561788,0,0,0,0.319623714,0.828920314,0.52173913,0,0.573266849,0.12254902,0.474270054,0.446853105
0.370687162,0,5,0.497578911,0.332470964,1,0,0,0.566302075,0,0.895652174,0,0.341804729,0.87254902,0.638553759,0.414336188
0.635134481,0,5,0.780405074,0.510596136,0,0,2,0.559585906,0.935081596,0.565217391,0,0.715457616,0.593137255,0.594898899,0.495478771
0.507192765,1,0,0.279595578,0.301645841,0,2,0,0.235879396,0.71738596,0.365217391,0,0.859096027,0.232843137,0.31182265,0.320318582
0.355564692,0,0,0.373027879,0.788619396,2,2,0,0.449241344,0,0.234782609,0,0.964934856,0.387254902,0.474270054,0.721360561
0.449396194,0,6,0.353887984,0.504210932,0,2,0,0.431252491,0,0.669565217,0,0.73475953,0.838235294,0.32833814,0.572309719
0.552990377,3,3,0.478263176,0.238344251,2,0,0,0.548147958,0,0,0,0.82692617,0,0.324254887,0.251452183
0.628122416,2,2,0.696443493,0.24660098,1,0,3,0.585829247,0.864608288,0.686956522,0,0.668328776,0.029411765,0.576954385,0.200550931
0.444765665,0,3,0.497578911,0.744206528,1,0,0,0.566302075,0,0.817391304,0,0.919736207,1,0.507697644,0.800467094
0.520327585,2,0,0.423188798,0.208069577,2,2,0,0.496385665,0,0.139130435,0,0.818562007,0.107843137,0.418314631,0.218516079
0.173408515,1,0,0.294731597,0.513568558,0,2,0,0.375653675,0,0.182608696,0,0.246099405,0.433823529,0.185365789,0.26612372
0.245682792,0,0,0.31295795,0.509385149,0,2,0,0.392783925,0,0.6,0,0.286955123,0.198529412,0.290465909,0.490987484
0.435326116,2,6,0.428736334,0.245500083,0,2,0,0.235879396,0.83397597,0.408695652,0,0.879202188,0.112745098,0.340411554,0.25923708
0.324611828,3,5,0.579403291,0.3181593,1,0,2,0.643205668,0,0.826086957,0,0.274569728,0.534313725,0.602416127,0.380501826
0.280331818,1,4,0.24353988,0.502174272,0,0,0,0.327540546,0,0.739130435,0,0.317516487,0.541666667,0.263709224,0.463201389
0.377462609,0,1,0.613487016,0.329168272,1,2,2,0.675239652,0,0.739130435,0,0.35065144,0.526960784,0.592370472,0.372118091
0.250453341,0,3,0.452881667,0.229922387,2,1,1,0.524292853,0,0.356521739,0,0.239504584,0.414215686,0.169367466,0.242769028
0.76274874,0,6,0.613487016,0.119502394,1,0,2,0.533998091,0.823652767,0.130434783,0,0.776419495,0.066176471,0.467971061,0.174980538
0.63762648,0,0,0.363560401,0.058402598,2,1,2,0.440343225,0,0.07826087,0,0.749879363,0.178921569,0.498777892,0.192227079
0.482804893,0,6,0.40028317,0.322562889,0,0,0,0.200266929,0.828920314,0.417391304,0,0.867138491,0.203431373,0.38625006,0.334391281
0.665261899,2,5,0.634845836,0.366213464,1,0,2,0.695313987,0,0.913043478,0,0.886922953,0.678921569,0.691905743,0.321875561
0.586494211,0,5,0.589134691,0.190455221,1,0,2,0.652351837,0,0.895652174,0,0.616374457,0.776960784,0.681203766,0.199353255
0.318096221,1,4,0.290995386,0.041008422,1,0,0,0.372142154,0,0.913043478,0,0.919253659,0.073529412,0.33641605,0.066171627
0.648770197,2,6,0.591055795,0.24660098,2,2,0,0.472087248,0.843515341,0.252173913,0,0.846710632,0.046568627,0.36380156,0.260434757
0.556446949,0,0,0.251807429,0.136511257,2,2,2,0.335310897,0,0.252173913,0,0.857326685,0.029411765,0.404290764,0.265225463
